timestamp,flow_m3h,turbidity_ntu,uvt,lamp_power_pct,uv_intensity,uv_dose_mj_cm2,lamp_health_pct,anomaly_score,advisory,cusum_event
2026-04-25T06:00:00+00:00,98.824,0.763,74.863,70.44,52.676,28.729,96.1,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:05:00+00:00,102.327,0.729,76.217,67.58,52.603,29.429,96.3,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:10:00+00:00,101.817,0.454,75.949,70.79,53.023,28.271,95.9,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:15:00+00:00,105.089,0.735,75.789,68.06,52.382,28.904,96.7,0.105,No rule triggered.,False
2026-04-25T06:20:00+00:00,106.801,0.333,78.005,72.57,52.662,29.87,96.5,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:25:00+00:00,101.902,0.647,75.557,69.94,51.387,28.686,96.4,0.004,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:30:00+00:00,101.662,0.777,76.403,68.74,54.024,28.244,95.9,0.033,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:35:00+00:00,99.244,0.279,75.571,71.11,53.472,29.927,97.1,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:40:00+00:00,105.849,0.284,78.583,67.21,53.755,29.532,95.2,0.065,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:45:00+00:00,104.221,0.627,75.979,69.49,53.519,29.313,97.3,0.1,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:50:00+00:00,98.611,0.549,75.69,68.27,55.469,30.112,97.6,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:55:00+00:00,98.714,0.453,76.366,70.77,50.77,28.402,95.1,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:00:00+00:00,103.897,0.491,75.104,67.39,54.696,28.592,96.6,0.069,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:05:00+00:00,98.632,0.262,78.722,70.8,53.902,29.352,96.8,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:10:00+00:00,106.58,0.663,76.9,68.29,53.373,28.32,97.1,0.062,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:15:00+00:00,103.713,0.623,76.861,70.54,54.14,28.282,97.4,0.053,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:20:00+00:00,98.874,0.553,75.374,71.02,52.561,28.383,95.2,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:25:00+00:00,100.443,0.659,77.139,69.28,51.468,29.122,96.2,0.0,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:30:00+00:00,97.778,0.598,74.826,70.38,53.52,28.883,95.0,0.095,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:35:00+00:00,105.49,0.791,77.716,70.19,51.23,28.88,95.1,0.07,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:40:00+00:00,97.438,0.474,76.016,67.2,51.601,29.633,96.4,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:45:00+00:00,103.545,0.585,77.746,70.64,53.879,29.304,96.9,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:50:00+00:00,101.643,0.697,78.092,72.76,51.753,28.496,97.4,0.006,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:55:00+00:00,106.888,0.644,77.844,69.3,53.956,28.464,97.5,0.009,"Water is clear, save energy while staying compliant.",False
2026-04-25T08:00:00+00:00,100.879,0.539,76.847,72.33,53.187,28.33,96.1,0,"Water is clear, save energy while staying compliant.",False
